userName,userLocation,userDescription,isUserVerified,date,text,source
Chris,"14.090782,-87.15723","Ing. Civil, amante de Blizzard. Seguidor de TLoZ:OoT y TLoZ:MM. Amante de WoW. Battletag: Batuzay#1332",False,2022-09-11 00:27:39+00:00,@Purmix @claroguatemala @Tigo_GT Que putas van a estar teniendo!,Twitter for iPhone
Gonzalo De Dios,,,False,2022-09-11 00:24:33+00:00,@mafer_martinezx @Tigo_GT @Tigo_GT reportar la cuenta por favor,Twitter for iPhone
Abe #DaysGoneWeek,воображение 01000001 01001010 ,"🧟 Days Gone / ZA4 ⚔️ Nioh 2 🔫 Rogue Company 🧛🏻‍♂️Bloodhunt

писатель ARSHLOGED, https://t.co/9hUKIGKVfY",False,2022-09-11 00:24:33+00:00,@Tigo_GT Vix+ y la Liga están en Tigo #Futbolcontigo y con ustedes puede ver al @VillarrealCF vamos groguets!! 🥳,Twitter for Android
Abe #DaysGoneWeek,воображение 01000001 01001010 ,"🧟 Days Gone / ZA4 ⚔️ Nioh 2 🔫 Rogue Company 🧛🏻‍♂️Bloodhunt

писатель ARSHLOGED, https://t.co/9hUKIGKVfY",False,2022-09-11 00:23:39+00:00,@RCM_20 @Tigo_GT Vix+ y la Liga están en Tigo #Futbolcontigo y con ustedes puede ver al @VillarrealCF vamos groguets!! 🥳,Twitter for Android
Andrés Marroquín ™,Guatemala,"¡DIOS! Mi todo; 160 caracteres no son suficientes para conocerme. Músico, Deportista & Alguien en confiar. INGENIERO EN PROCESO..  Trance ♥",False,2022-09-11 00:13:43+00:00,"@Tigo_GT ""...Ya bailé con otros labios
Y me acuerdo siempre de ella
He cantado mil rancheras
Y el alcohol no ayuda pa' olvidarme de ella
Pa' olvidarme de ella..."" #SigueLaMusica @Tigo_GT #Piso21GT por favor.",Twitter for Android
André,,,False,2022-09-11 00:07:22+00:00,@mafer_martinezx @Tigo_GT @Tigo_GT esta cuenta es falsa,Twitter for Android
.,,,False,2022-09-10 23:51:53+00:00,@Purmix @claroguatemala @Tigo_GT jajajjajajajaja no tienen ni velocidades de 4g lte consistentes pues,Twitter Web App
XXXXXX,,,False,2022-09-10 23:47:44+00:00,@Tigo_GT Sería bueno q volvieran los backtons los que usábamos en el año 2005,Twitter for Android
Rivaí Morales,,,False,2022-09-10 23:41:50+00:00,@Tigo_GT Vix+ y La Liga están en Tigo #FutbolConTigo Barsa.,Twitter for Android
Fher,,,False,2022-09-10 23:41:12+00:00,@Tigo_GT Vix+ y La Liga están en Tigo #FutbolConTigo #FCBarcelona 🔴🔵,Twitter for Android
aka El Pur / Motopapi,502,No sé.,False,2022-09-10 23:37:58+00:00,¿@claroguatemala y @Tigo_GT tienen eSim?,Tweetbot for iΟS
Edy Orellana🇬🇹,Guatemala,"HALA MADRID!!!
🇬🇹CHAPIN🇬🇹",False,2022-09-10 23:11:14+00:00,@Guia_FutbolTV Excelente 👌 Que grande sos @Tigo_GT y por solo Q45 adicionales a tu paquete 👏😎,Twitter for Android
Edgar Orellana,,"Tu realidad no es la misma que la mía.
Desde la Resistencia.",False,2022-09-10 23:01:48+00:00,@Tigo_GT Vix+ y La Liga están en Tigo #FutbolConTigo @FCBarcelona_es,Twitter for Android
Pablo Zamboni,Guatemala,,False,2022-09-10 22:55:38+00:00,@Tigo_GT VIX+ y la Liga están en Tigo #FutbolConTigo Real Madrid,Twitter for Android
Melvin J. Recinos,Guatemala,"""Do or do not. There is no try""",False,2022-09-10 22:31:38+00:00,"@Tigo_GT 2 días sin internet en Fraijanes
La semana pasada 3 días sin internet en Fraijanes

Hasta cuando?",Twitter for iPhone
Salva 🧔⚽🤍,Guatemala,Profesor madridista. Salió la 5ta temporada y me quedé así 🤡 al ver que ahora debo esperar hasta diciembre para la segunda parte 🤷🏻 #LCDP5 #RealMadrid 🤍,False,2022-09-10 22:19:28+00:00,"Por fin @Tigo_GT dan una buena noticia, La Liga Española",Twitter for Android
Salva 🧔⚽🤍,Guatemala,Profesor madridista. Salió la 5ta temporada y me quedé así 🤡 al ver que ahora debo esperar hasta diciembre para la segunda parte 🤷🏻 #LCDP5 #RealMadrid 🤍,False,2022-09-10 22:18:52+00:00,@Tigo_GT Por fin algo bueno después de su pésima señal,Twitter for Android
ESTHER BIERSACK,Guatemala,YouTube: Esther Biersack💕,False,2022-09-10 22:09:58+00:00,"@Tigo_GT Por favor que alguien me diga, que se toma pa’ las penas cuando esta recien herido, para olvidarme de ella.😮‍💨❤️🚀@Tigo_GT  #Piso21",Twitter for iPhone
Fut&Pub restaurante ®,"0 calle 8-65 zona 9, Xela",,False,2022-09-10 22:02:39+00:00,"A PARTIR DE HOY, LA LIGA ESPAÑOLA EN FUT&amp;PUB restaurante, GRACIAS A TIGO “La mejor señal”… @Tigo_GT 

THE PLACE OF TASTE! 

#boxparkxela #LigaEspañola #Tigo #LaLigaenTigo #thinkoutofthebox #ThePlaceOfTaste #futandpub #quetzaltenango #xela #guatemala https://t.co/KA6Tv0VmVe",Twitter for iPhone
Jorge G,,"Black as The Devil, hot as Hell, pure as an angel, sweet as love.",False,2022-09-10 22:00:56+00:00,@Tigo_GT @_DennisArana @Team_Dennis @DennistasOfic1 Después del Café ☕ #SigueLaMusica #DennisArana,Twitter for Android
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:47:43+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas❤️‍🩹",Twitter for iPhone
Sofia Recinos,Guatemala,🕊 ig:sofiarecinoss,False,2022-09-10 21:47:26+00:00,"@Tigo_GT Cuando te reías, me encantaba
Y yo como loco, perdido en tu mirada
Ese beso que nos dimos en la noche mientras bailabas💜",Twitter for iPhone
